iter	RMSE	MAE
0	35.2394321	27.33305189
1	34.75761857	26.9184856
2	34.33593674	26.56734235
3	33.91152293	26.21170588
4	33.53229262	25.87772003
5	33.13625948	25.54595682
6	32.75215047	25.21928999
7	32.3512889	24.89733254
8	32.00235174	24.59757659
9	31.67227316	24.31339632
10	31.35099749	24.04471074
11	31.02340988	23.77009432
12	30.67203016	23.482603
13	30.39189819	23.24991119
14	30.10886934	23.01039749
15	29.81382832	22.7634429
16	29.52546014	22.52254286
17	29.28923543	22.32614291
18	29.02352496	22.10945319
19	28.7758564	21.90315514
20	28.5322763	21.70144526
21	28.28670543	21.49514838
22	28.08569794	21.32996421
23	27.86091096	21.14407136
24	27.69899061	21.00518271
25	27.49114467	20.8341764
26	27.3371411	20.69618175
27	27.15687876	20.54708031
28	26.97422233	20.39070763
29	26.80713696	20.25064625
30	26.62713886	20.09772749
31	26.44122401	19.94205677
32	26.27399051	19.80512781
33	26.12058161	19.68080672
34	25.97009828	19.55435874
35	25.84427528	19.43837245
36	25.71379374	19.33048742
37	25.58231299	19.21147932
38	25.4570517	19.10654275
39	25.33192849	18.99794876
40	25.21607481	18.89323122
41	25.13546324	18.81482807
42	25.01726922	18.7172679
43	24.9192102	18.63049596
44	24.79770456	18.53046648
45	24.66629693	18.42887096
46	24.56441111	18.34395647
47	24.48086672	18.26712306
48	24.39267655	18.19009982
49	24.30643379	18.11501068
50	24.22660431	18.04424742
51	24.14203066	17.96930314
52	24.04799964	17.88874781
53	23.95509733	17.812996
54	23.88867498	17.74977385
55	23.82903609	17.69180135
56	23.74710072	17.62354948
57	23.69469916	17.57329793
58	23.64564872	17.52335516
59	23.58042062	17.46300692
60	23.53770639	17.42074483
61	23.47479219	17.36939851
62	23.42334085	17.31724557
63	23.3669542	17.26794123
64	23.31980501	17.2272039
65	23.2855039	17.19095211
66	23.23532171	17.14930638
67	23.19730161	17.10711048
68	23.15931905	17.06825402
69	23.10589352	17.02035323
70	23.04806254	16.97443598
71	23.00368704	16.93715092
72	22.95104997	16.8958112
73	22.91964095	16.86616745
74	22.86270778	16.8194981
75	22.80780179	16.77993273
76	22.78720662	16.7551043
77	22.7680118	16.73212407
78	22.72533386	16.69196703
79	22.69090278	16.66183811
80	22.65679823	16.63081017
81	22.62145582	16.59775546
82	22.5619545	16.55553579
83	22.53789561	16.53161839
84	22.51800815	16.50987314
85	22.47160112	16.47584372
86	22.43620834	16.44511512
87	22.40071198	16.41349698
88	22.37570652	16.39167526
89	22.35056361	16.36858844
90	22.32328906	16.3447169
91	22.3018398	16.32255811
92	22.26188486	16.29376918
93	22.24763469	16.27723845
94	22.2235785	16.25603458
95	22.19023741	16.22867398
96	22.14561057	16.19998356
97	22.11185433	16.17378563
98	22.08841883	16.15259139
99	22.07768051	16.13971019
100	22.03397443	16.11064473
101	22.02330864	16.09718303
102	21.99784232	16.07780084
103	21.97473061	16.05717536
104	21.9582272	16.04162188
105	21.93809368	16.02197712
106	21.92525615	16.00682891
107	21.90327336	15.98845635
108	21.88543722	15.97192413
109	21.85426251	15.95115912
110	21.82931199	15.9323788
111	21.80710761	15.91522378
112	21.7888024	15.89751701
113	21.75931453	15.87982572
114	21.74051594	15.86451326
115	21.71770885	15.84650906
116	21.67227018	15.81900856
117	21.65585955	15.80328831
118	21.63939435	15.78820001
119	21.61316727	15.76895933
120	21.58144839	15.74794534
121	21.57117578	15.73908683
122	21.56094417	15.72666736
123	21.54995273	15.71559894
124	21.53497792	15.70478302
125	21.51994043	15.68862505
126	21.49038505	15.66817066
127	21.46613604	15.6496191
128	21.45656617	15.63908699
129	21.41959047	15.61215708
130	21.39575447	15.5913216
131	21.38197846	15.57951826
132	21.36104628	15.56429444
133	21.34740482	15.55408875
134	21.33482274	15.54393272
135	21.32473628	15.53585648
136	21.31492922	15.52590394
137	21.29478408	15.51291566
138	21.28041145	15.5013453
139	21.27226853	15.49180446
140	21.24875509	15.47463417
141	21.23808955	15.46541379
142	21.22712	15.45465706
143	21.21054078	15.43927336
144	21.19942682	15.42803256
145	21.17489503	15.41038622
146	21.15928835	15.39929638
147	21.14808298	15.39030407
148	21.13157932	15.37619679
149	21.1131143	15.36545376
150	21.10891399	15.3606471
151	21.10203409	15.35234839
152	21.09512849	15.34430372
153	21.07884014	15.33177821
154	21.05591005	15.31416548
155	21.04955597	15.3084747
156	21.03663831	15.29592934
157	21.01533242	15.28045303
158	21.00239406	15.26974575
159	20.99575025	15.26191199
160	20.98443696	15.2513883
161	20.96699813	15.239113
162	20.94535221	15.22374024
163	20.92620954	15.21223699
164	20.9084121	15.19655721
165	20.88825937	15.18040499
166	20.87400006	15.16953812
167	20.86492993	15.16274053
168	20.84054468	15.14369626
169	20.83333541	15.13601056
170	20.82945212	15.13246677
171	20.81781781	15.12218757
172	20.79789882	15.10730718
173	20.78888584	15.09837584
174	20.77820459	15.08776002
175	20.76549431	15.07932024
176	20.74929002	15.06716776
177	20.73507031	15.05471077
178	20.7124749	15.03884036
179	20.70312417	15.03120892
180	20.68324435	15.01644908
181	20.67352528	15.00806313
182	20.65392068	14.99237454
183	20.63990318	14.98054602
184	20.6292354	14.97111144
185	20.62434593	14.96605554
186	20.60943211	14.95517489
187	20.60359659	14.94925948
188	20.58859897	14.93669181
189	20.58237796	14.92984662
190	20.5761983	14.92311137
191	20.56891381	14.91453542
192	20.5547672	14.90305502
193	20.54141484	14.89448616
194	20.53712244	14.88931822
195	20.51661974	14.87225992
196	20.50532072	14.86238652
197	20.48402709	14.84699146
198	20.47570469	14.84122219
199	20.46969889	14.8377039
200	20.4613608	14.82866805
201	20.44300016	14.81215553
202	20.43635822	14.80413031
203	20.42793721	14.79563351
204	20.41695235	14.7860765
205	20.40901104	14.77686246
206	20.4008502	14.77059544
207	20.39209405	14.76035386
208	20.38342759	14.75170111
209	20.36852437	14.74312136
210	20.36626848	14.74021393
211	20.3570191	14.73192038
212	20.35161738	14.72648275
213	20.34190878	14.71794898
214	20.33329521	14.70839209
215	20.32121002	14.69650038
216	20.31077488	14.68805746
217	20.2984315	14.67689103
218	20.29202072	14.66966721
219	20.28215759	14.66211992
220	20.26814617	14.6541311
221	20.2590913	14.64562519
222	20.24820765	14.63527523
223	20.24387942	14.62944361
224	20.23847572	14.62535746
225	20.2312777	14.61882652
226	20.21972402	14.61077101
227	20.2083436	14.60129242
228	20.20338431	14.59583803
229	20.1899073	14.58430287
230	20.17596017	14.5773798
231	20.1576974	14.5657012
232	20.1440317	14.5547849
233	20.12005451	14.5388491
234	20.10782747	14.52912312
235	20.09899657	14.52242968
236	20.09404587	14.51757626
237	20.08013498	14.50703316
238	20.07276807	14.50056012
239	20.06496672	14.49219392
240	20.05358062	14.48222355
241	20.04838366	14.47724116
242	20.04394788	14.47145177
243	20.03885596	14.46499132
244	20.029579	14.45603041
245	20.02521565	14.4497495
246	20.01972943	14.44405672
247	20.01538013	14.43822208
248	20.00518944	14.42685351
249	19.99979776	14.42092453
250	19.99573297	14.41526223
251	19.98304997	14.40370814
252	19.96963567	14.39226442
253	19.95581961	14.37934545
254	19.94389106	14.36829864
255	19.93645023	14.36197366
256	19.92572109	14.3540536
257	19.91563225	14.3450996
258	19.90877692	14.33859807
259	19.90081918	14.33134535
260	19.88425169	14.31955719
261	19.87347482	14.30939279
262	19.86999849	14.30542611
263	19.85499367	14.29525173
264	19.84498668	14.28725967
265	19.83854877	14.28043714
266	19.82943594	14.27131255
267	19.81728051	14.25936541
268	19.81108776	14.25136597
269	19.80287153	14.24506063
270	19.79164973	14.23615506
271	19.78043709	14.2262855
272	19.77251155	14.21792637
273	19.76349439	14.20805392
274	19.75060989	14.19391179
275	19.73822152	14.1842281
276	19.7265752	14.17364544
277	19.7189755	14.16513623
278	19.71126128	14.15684587
279	19.70477422	14.1506934
280	19.69751872	14.14308941
281	19.69409726	14.13779813
282	19.68702862	14.13160146
283	19.68225457	14.12682428
284	19.67061858	14.11571541
285	19.66207317	14.10843315
286	19.6574335	14.1041369
287	19.65198246	14.09994684
288	19.64114256	14.09015096
289	19.63046687	14.07932401
290	19.61967402	14.07123696
291	19.61413557	14.06360063
292	19.60557371	14.05415805
293	19.59732726	14.04467248
294	19.59189672	14.03822639
295	19.58532639	14.0328468
296	19.57909803	14.02554715
297	19.56709835	14.01554115
