iter	Passed	Remaining
0	9	9752
1	19	9509
2	31	10434
3	46	11590
4	58	11632
5	68	11384
6	80	11447
7	102	12697
8	113	12467
9	123	12255
10	136	12271
11	148	12199
12	159	12145
13	172	12137
14	264	17370
15	277	17077
16	289	16741
17	301	16439
18	313	16192
19	325	15971
20	337	15754
21	358	15919
22	370	15749
23	382	15541
24	394	15384
25	406	15243
26	417	15062
27	427	14853
28	452	15137
29	462	14951
30	472	14763
31	482	14585
32	491	14416
33	502	14264
34	512	14116
35	532	14253
36	542	14129
37	553	14010
38	563	13890
39	573	13769
40	583	13655
41	594	13557
42	611	13600
43	621	13509
44	632	13416
45	642	13334
46	653	13254
47	664	13179
48	675	13103
49	687	13061
50	698	12994
51	709	12928
52	719	12864
53	730	12797
54	741	12732
55	751	12671
56	770	12743
57	781	12687
58	792	12636
59	802	12580
60	813	12528
61	824	12468
62	834	12411
63	849	12425
64	861	12393
65	873	12359
66	885	12324
67	895	12273
68	906	12230
69	917	12193
70	975	12765
71	985	12706
72	996	12652
73	1006	12594
74	1016	12541
75	1027	12487
76	1037	12431
77	1054	12462
78	1064	12409
79	1074	12356
80	1084	12308
81	1095	12259
82	1105	12210
83	1115	12161
84	1150	12384
85	1160	12334
86	1170	12283
87	1181	12240
88	1191	12198
89	1202	12154
90	1212	12111
91	1245	12295
92	1256	12253
93	1266	12211
94	1276	12164
95	1286	12118
96	1297	12074
97	1307	12038
98	1341	12206
99	1351	12161
100	1361	12115
101	1371	12073
102	1381	12029
103	1391	11988
104	1401	11944
105	1420	11979
106	1431	11943
107	1441	11902
108	1451	11862
109	1461	11824
110	1471	11785
111	1481	11748
112	1499	11767
113	1509	11728
114	1519	11692
115	1529	11656
116	1539	11620
117	1550	11586
118	1560	11549
119	1594	11693
120	1604	11654
121	1613	11615
122	1623	11579
123	1633	11540
124	1643	11502
125	1653	11468
126	1665	11446
127	1675	11412
128	1685	11378
129	1695	11343
130	1704	11310
131	1714	11277
132	1725	11249
133	1754	11335
134	1763	11302
135	1773	11267
136	1783	11236
137	1793	11203
138	1803	11170
139	1813	11137
140	1833	11172
141	1843	11140
142	1853	11107
143	1863	11080
144	1873	11048
145	1883	11017
146	1893	10985
147	1905	10968
148	1915	10937
149	1925	10910
150	1935	10884
151	1946	10858
152	1957	10836
153	1967	10807
154	1979	10789
155	1988	10760
156	1999	10735
157	2010	10711
158	2019	10684
159	2037	10697
160	2047	10670
161	2089	10806
162	2099	10780
163	2110	10757
164	2120	10731
165	2131	10708
166	2142	10685
167	2152	10662
168	2185	10744
169	2195	10720
170	2205	10693
171	2216	10670
172	2226	10643
173	2236	10616
174	2246	10590
175	2262	10592
176	2272	10564
177	2281	10537
178	2291	10510
179	2301	10484
180	2311	10459
181	2321	10434
182	2357	10526
183	2367	10499
184	2377	10474
185	2387	10447
186	2397	10422
187	2407	10396
188	2433	10442
189	2452	10457
190	2462	10431
191	2472	10404
192	2482	10378
193	2491	10352
194	2502	10332
195	2513	10311
196	2547	10384
197	2557	10359
198	2567	10333
199	2574	10299
200	2584	10274
201	2594	10250
202	2605	10229
203	2627	10250
204	2636	10225
205	2646	10200
206	2656	10175
207	2665	10151
208	2675	10127
209	2685	10102
210	2706	10121
211	2716	10097
212	2726	10072
213	2735	10048
214	2745	10024
215	2755	10001
216	2765	9977
217	2786	9996
218	2796	9972
219	2806	9949
220	2815	9925
221	2825	9901
222	2835	9878
223	2845	9856
224	2867	9878
225	2877	9854
226	2887	9832
227	2897	9809
228	2906	9786
229	2916	9764
230	2926	9743
231	2945	9749
232	2955	9727
233	2964	9704
234	2974	9684
235	2984	9661
236	2994	9641
237	3005	9621
238	3025	9632
239	3035	9611
240	3045	9590
241	3054	9568
242	3064	9547
243	3074	9526
244	3084	9505
245	3103	9513
246	3113	9491
247	3123	9470
248	3133	9449
249	3142	9428
250	3152	9408
251	3162	9387
252	3200	9451
253	3211	9431
254	3220	9410
255	3230	9388
256	3240	9367
257	3250	9347
258	3275	9370
259	3287	9355
260	3297	9335
261	3307	9315
262	3316	9294
263	3327	9275
264	3336	9254
265	3346	9233
266	3373	9261
267	3383	9240
268	3392	9220
269	3402	9198
270	3412	9178
271	3421	9158
272	3431	9138
273	3452	9149
274	3462	9129
275	3472	9109
276	3482	9089
277	3492	9069
278	3502	9050
279	3511	9030
280	3523	9016
281	3533	8997
282	3543	8977
283	3553	8957
284	3563	8938
285	3572	8919
286	3582	8900
287	3595	8889
288	3605	8870
289	3615	8851
290	3625	8832
291	3634	8813
292	3644	8795
293	3654	8776
294	3675	8784
295	3685	8765
296	3696	8749
297	3707	8732
298	3717	8715
299	3727	8698
300	3738	8682
301	3788	8756
302	3799	8739
303	3825	8757
304	3835	8739
305	3846	8723
306	3857	8706
307	3868	8691
308	3881	8680
309	3892	8662
310	3901	8644
311	3912	8627
312	3923	8611
313	3934	8595
314	3944	8578
315	3977	8609
316	3987	8591
317	3997	8573
318	4007	8555
319	4017	8537
320	4027	8519
321	4037	8500
322	4088	8569
323	4099	8552
324	4109	8534
325	4119	8517
326	4129	8499
327	4139	8480
328	4148	8461
329	4183	8494
330	4193	8476
331	4203	8457
332	4213	8439
333	4223	8420
334	4232	8402
335	4242	8384
336	4264	8389
337	4274	8371
338	4283	8353
339	4294	8335
340	4303	8317
341	4313	8299
342	4323	8281
343	4342	8281
344	4352	8263
345	4362	8244
346	4371	8227
347	4382	8210
348	4392	8192
349	4401	8175
350	4422	8177
351	4433	8160
352	4442	8143
353	4452	8125
354	4462	8107
355	4472	8090
356	4482	8073
357	4500	8071
358	4510	8053
359	4520	8035
360	4530	8018
361	4539	8001
362	4549	7983
363	4559	7966
364	4580	7968
365	4590	7951
366	4599	7933
367	4609	7916
368	4619	7899
369	4629	7881
370	4639	7865
371	4677	7895
372	4688	7880
373	4698	7864
374	4708	7847
375	4718	7830
376	4728	7814
377	4738	7797
378	4755	7792
379	4765	7774
380	4775	7757
381	4785	7741
382	4794	7724
383	4804	7707
384	4814	7690
385	4834	7690
386	4844	7673
387	4854	7656
388	4864	7641
389	4874	7624
390	4884	7608
391	4910	7616
392	4947	7641
393	4957	7624
394	4966	7607
395	4976	7590
396	4986	7573
397	4996	7556
398	5006	7540
399	5026	7539
400	5036	7522
401	5045	7506
402	5055	7489
403	5065	7472
404	5075	7455
405	5085	7439
406	5105	7439
407	5115	7422
408	5125	7405
409	5134	7389
410	5144	7372
411	5154	7356
412	5164	7339
413	5185	7339
414	5195	7323
415	5206	7308
416	5215	7292
417	5226	7277
418	5236	7261
419	5246	7245
420	5265	7241
421	5276	7226
422	5285	7210
423	5295	7194
424	5305	7177
425	5315	7161
426	5324	7145
427	5344	7142
428	5354	7126
429	5363	7110
430	5373	7094
431	5383	7078
432	5393	7062
433	5403	7046
434	5424	7046
435	5434	7029
436	5444	7013
437	5453	6997
438	5463	6981
439	5473	6965
440	5483	6950
441	5503	6948
442	5513	6932
443	5523	6916
444	5533	6900
445	5542	6885
446	5552	6869
447	5562	6853
448	5583	6852
449	5593	6836
450	5602	6820
451	5612	6804
452	5622	6788
453	5631	6772
454	5641	6757
455	5662	6754
456	5671	6739
457	5681	6723
458	5691	6707
459	5700	6692
460	5710	6676
461	5720	6661
462	5741	6659
463	5751	6644
464	5761	6628
465	5771	6613
466	5781	6598
467	5791	6582
468	5800	6567
469	5821	6564
470	5830	6548
471	5840	6533
472	5850	6518
473	5860	6503
474	5869	6487
475	5879	6472
476	5900	6469
477	5910	6454
478	5920	6439
479	5929	6423
480	5939	6408
481	5949	6393
482	5959	6378
483	5980	6375
484	5990	6360
485	5999	6345
486	6009	6330
487	6019	6315
488	6029	6300
489	6038	6285
490	6059	6282
491	6069	6267
492	6079	6252
493	6089	6237
494	6099	6222
495	6109	6207
496	6118	6192
497	6139	6188
498	6149	6173
499	6159	6159
500	6169	6144
501	6179	6130
502	6189	6115
503	6199	6101
504	6211	6088
505	6220	6073
506	6231	6059
507	6241	6044
508	6250	6029
509	6260	6015
510	6270	6000
511	6330	6034
512	6341	6020
513	6351	6005
514	6361	5991
515	6371	5976
516	6381	5961
517	6391	5947
518	6409	5939
519	6418	5925
520	6428	5910
521	6438	5895
522	6448	5881
523	6457	5866
524	6467	5851
525	6488	5847
526	6498	5832
527	6508	5818
528	6518	5803
529	6528	5789
530	6538	5775
531	6548	5761
532	6568	5754
533	6578	5740
534	6587	5725
535	6597	5711
536	6607	5696
537	6616	5682
538	6628	5669
539	6640	5656
540	6649	5641
541	6659	5627
542	6669	5613
543	6679	5598
544	6688	5584
545	6698	5570
546	6726	5570
547	6736	5556
548	6746	5541
549	6755	5527
550	6765	5513
551	6775	5498
552	6785	5484
553	6805	5478
554	6815	5464
555	6825	5450
556	6835	5436
557	6845	5422
558	6856	5408
559	6866	5395
560	6879	5383
561	6889	5369
562	6900	5355
563	6910	5342
564	6920	5328
565	6931	5314
566	6976	5327
567	6995	5320
568	7005	5306
569	7015	5292
570	7026	5278
571	7036	5265
572	7046	5250
573	7056	5237
574	7074	5228
575	7084	5215
576	7094	5201
577	7104	5186
578	7113	5172
579	7124	5158
580	7134	5145
581	7145	5132
582	7155	5118
583	7165	5104
584	7175	5090
585	7185	5076
586	7195	5062
587	7205	5048
588	7233	5047
589	7243	5033
590	7253	5019
591	7263	5005
592	7273	4991
593	7282	4977
594	7292	4963
595	7312	4957
596	7322	4942
597	7332	4929
598	7342	4915
599	7351	4901
600	7361	4887
601	7371	4873
602	7392	4867
603	7402	4853
604	7413	4839
605	7423	4826
606	7434	4813
607	7443	4799
608	7453	4785
609	7472	4777
610	7482	4763
611	7494	4751
612	7505	4738
613	7516	4725
614	7526	4712
615	7537	4698
616	7565	4696
617	7575	4682
618	7586	4669
619	7596	4655
620	7606	4642
621	7617	4629
622	7630	4617
623	7647	4608
624	7659	4595
625	7671	4583
626	7682	4570
627	7693	4557
628	7704	4544
629	7716	4531
630	7730	4520
631	7741	4507
632	7752	4494
633	7764	4482
634	7775	4469
635	7786	4456
636	7817	4455
637	7837	4446
638	7847	4433
639	7858	4420
640	7869	4407
641	7880	4394
642	7890	4381
643	7901	4367
644	7916	4357
645	7926	4343
646	7936	4330
647	7946	4316
648	7956	4303
649	7967	4289
650	7976	4276
651	7995	4267
652	8005	4254
653	8015	4240
654	8025	4227
655	8035	4213
656	8045	4200
657	8055	4186
658	8073	4177
659	8083	4164
660	8093	4150
661	8103	4137
662	8113	4123
663	8122	4110
664	8132	4097
665	8169	4097
666	8179	4083
667	8189	4070
668	8198	4056
669	8208	4043
670	8219	4029
671	8228	4016
672	8247	4007
673	8258	3994
674	8268	3981
675	8278	3967
676	8287	3954
677	8297	3940
678	8307	3927
679	8326	3918
680	8336	3904
681	8346	3891
682	8356	3878
683	8366	3865
684	8375	3851
685	8385	3838
686	8397	3826
687	8407	3812
688	8417	3799
689	8426	3786
690	8436	3772
691	8446	3759
692	8457	3746
693	8486	3741
694	8495	3728
695	8505	3715
696	8515	3701
697	8525	3688
698	8535	3675
699	8545	3662
700	8565	3653
701	8574	3640
702	8584	3626
703	8594	3613
704	8604	3600
705	8614	3587
706	8624	3574
707	8645	3565
708	8655	3552
709	8665	3539
710	8678	3527
711	8691	3515
712	8702	3502
713	8712	3489
714	8739	3483
715	8749	3470
716	8759	3457
717	8769	3444
718	8778	3430
719	8788	3417
720	8798	3404
721	8819	3395
722	8828	3382
723	8838	3369
724	8848	3356
725	8858	3343
726	8868	3330
727	8878	3317
728	8899	3308
729	8908	3294
730	8918	3281
731	8928	3268
732	8938	3255
733	8947	3242
734	8957	3229
735	8978	3220
736	8988	3207
737	8997	3194
738	9007	3181
739	9017	3168
740	9026	3155
741	9036	3142
742	9057	3132
743	9067	3119
744	9076	3106
745	9086	3093
746	9096	3080
747	9105	3067
748	9116	3054
749	9136	3045
750	9146	3032
751	9156	3019
752	9165	3006
753	9175	2993
754	9185	2980
755	9195	2967
756	9207	2955
757	9217	2942
758	9226	2929
759	9236	2916
760	9246	2903
761	9256	2891
762	9266	2878
763	9279	2866
764	9289	2853
765	9299	2840
766	9309	2828
767	9319	2815
768	9329	2802
769	9339	2789
770	9359	2779
771	9368	2766
772	9378	2754
773	9388	2741
774	9398	2728
775	9408	2715
776	9417	2702
777	9429	2690
778	9439	2677
779	9449	2665
780	9458	2652
781	9468	2639
782	9478	2626
783	9488	2614
784	9500	2602
785	9510	2589
786	9520	2576
787	9530	2563
788	9540	2551
789	9550	2538
790	9561	2526
791	9573	2514
792	9583	2501
793	9593	2488
794	9602	2476
795	9612	2463
796	9622	2450
797	9632	2438
798	9645	2426
799	9656	2414
800	9666	2401
801	9676	2389
802	9686	2376
803	9696	2363
804	9706	2351
805	9725	2340
806	9735	2328
807	9745	2315
808	9755	2303
809	9765	2290
810	9776	2278
811	9787	2265
812	9803	2254
813	9813	2242
814	9824	2229
815	9834	2217
816	9845	2205
817	9855	2192
818	9878	2183
819	9898	2172
820	9908	2160
821	9918	2147
822	9928	2135
823	9938	2122
824	9948	2110
825	9958	2097
826	9979	2087
827	9989	2075
828	9999	2062
829	10009	2050
830	10019	2037
831	10029	2025
832	10039	2012
833	10050	2000
834	10060	1988
835	10070	1975
836	10080	1963
837	10090	1950
838	10099	1938
839	10109	1925
840	10121	1913
841	10132	1901
842	10141	1888
843	10151	1876
844	10161	1863
845	10171	1851
846	10181	1839
847	10200	1828
848	10211	1816
849	10221	1803
850	10232	1791
851	10242	1779
852	10253	1766
853	10264	1754
854	10311	1748
855	10321	1736
856	10332	1724
857	10342	1711
858	10353	1699
859	10364	1687
860	10375	1674
861	10390	1663
862	10400	1651
863	10410	1638
864	10420	1626
865	10430	1613
866	10440	1601
867	10450	1589
868	10469	1578
869	10479	1565
870	10489	1553
871	10498	1541
872	10508	1528
873	10518	1516
874	10528	1504
875	10549	1493
876	10559	1480
877	10568	1468
878	10578	1456
879	10588	1443
880	10598	1431
881	10607	1419
882	10628	1408
883	10638	1395
884	10647	1383
885	10657	1371
886	10667	1359
887	10677	1346
888	10688	1334
889	10741	1327
890	10752	1315
891	10763	1303
892	10773	1290
893	10783	1278
894	10793	1266
895	10803	1253
896	10819	1242
897	10829	1230
898	10838	1217
899	10848	1205
900	10858	1193
901	10868	1180
902	10878	1168
903	10899	1157
904	10909	1145
905	10918	1132
906	10941	1121
907	10951	1109
908	10960	1097
909	10970	1085
910	10994	1074
911	11004	1061
912	11014	1049
913	11024	1037
914	11034	1025
915	11044	1012
916	11053	1000
917	11074	989
918	11084	977
919	11094	964
920	11104	952
921	11114	940
922	11123	927
923	11133	915
924	11154	904
925	11163	892
926	11173	879
927	11183	867
928	11193	855
929	11203	843
930	11240	833
931	11266	821
932	11277	809
933	11303	798
934	11313	786
935	11325	774
936	11335	762
937	11350	750
938	11420	741
939	11431	729
940	11441	717
941	11452	705
942	11461	692
943	11471	680
944	11482	668
945	11500	656
946	11510	644
947	11520	631
948	11530	619
949	11541	607
950	11551	595
951	11562	582
952	11578	571
953	11589	558
954	11599	546
955	11609	534
956	11619	522
957	11630	509
958	11640	497
959	11672	486
960	11683	474
961	11693	461
962	11704	449
963	11715	437
964	11725	425
965	11736	413
966	11750	401
967	11761	388
968	11772	376
969	11782	364
970	11792	352
971	11803	340
972	11814	327
973	11845	316
974	11855	303
975	11865	291
976	11876	279
977	11886	267
978	11896	255
979	11907	243
980	11924	230
981	11934	218
982	11944	206
983	11954	194
984	11964	182
985	11974	170
986	11985	157
987	12002	145
988	12012	133
989	12022	121
990	12032	109
991	12042	97
992	12052	84
993	12063	72
994	12083	60
995	12092	48
996	12103	36
997	12113	24
998	12123	12
999	12133	0
